Java HotSpot(TM) 64-Bit Server VM (25.161-b12) for windows-amd64 JRE (1.8.0_161-b12), built on Dec 19 2017 17:52:25 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33469572k(19725088k free), swap 33469572k(16423768k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2018-03-03T23:54:10.575+0300: 95.263: [GC (Allocation Failure) 2018-03-03T23:54:10.576+0300: 95.263: [DefNew: 149559K->9790K(157248K), 0.0220794 secs] 286124K->147752K(506816K), 0.0222113 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:10.667+0300: 95.355: [GC (Allocation Failure) 2018-03-03T23:54:10.667+0300: 95.355: [DefNew: 149566K->9792K(157248K), 0.0212266 secs] 287528K->149152K(506816K), 0.0213414 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:10.764+0300: 95.452: [GC (Allocation Failure) 2018-03-03T23:54:10.764+0300: 95.452: [DefNew: 149568K->9795K(157248K), 0.0220710 secs] 288928K->150552K(506816K), 0.0221975 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:10.861+0300: 95.548: [GC (Allocation Failure) 2018-03-03T23:54:10.861+0300: 95.548: [DefNew: 149571K->9797K(157248K), 0.0209352 secs] 290328K->151952K(506816K), 0.0210446 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:10.946+0300: 95.634: [GC (Allocation Failure) 2018-03-03T23:54:10.946+0300: 95.634: [DefNew: 149573K->9784K(157248K), 0.0215085 secs] 291728K->153337K(506816K), 0.0215971 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:11.039+0300: 95.727: [GC (Allocation Failure) 2018-03-03T23:54:11.039+0300: 95.727: [DefNew: 149560K->9787K(157248K), 0.0236337 secs] 293113K->154737K(506816K), 0.0237452 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:11.131+0300: 95.819: [GC (Allocation Failure) 2018-03-03T23:54:11.132+0300: 95.819: [DefNew: 149563K->9789K(157248K), 0.0218669 secs] 294513K->156137K(506816K), 0.0220091 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:26.222+0300: 110.910: [GC (Allocation Failure) 2018-03-03T23:54:26.222+0300: 110.910: [DefNew: 149565K->9791K(157248K), 0.0212363 secs] 295913K->157537K(506816K), 0.0213405 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:26.308+0300: 110.996: [GC (Allocation Failure) 2018-03-03T23:54:26.309+0300: 110.996: [DefNew: 149567K->9794K(157248K), 0.0203580 secs] 297313K->158937K(506816K), 0.0204644 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:26.384+0300: 111.072: [GC (Allocation Failure) 2018-03-03T23:54:26.384+0300: 111.072: [DefNew: 149570K->9443K(157248K), 0.0555748 secs] 298713K->196038K(506816K), 0.0557160 secs] [Times: user=0.05 sys=0.01, real=0.06 secs] 
2018-03-03T23:54:26.507+0300: 111.195: [GC (Allocation Failure) 2018-03-03T23:54:26.507+0300: 111.195: [DefNew: 149219K->9446K(157248K), 0.0230445 secs] 335814K->197439K(506816K), 0.0231503 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:26.595+0300: 111.283: [GC (Allocation Failure) 2018-03-03T23:54:26.595+0300: 111.283: [DefNew: 149222K->9448K(157248K), 0.0252508 secs] 337215K->198839K(506816K), 0.0253530 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:26.684+0300: 111.371: [GC (Allocation Failure) 2018-03-03T23:54:26.684+0300: 111.372: [DefNew: 149224K->9451K(157248K), 0.0224796 secs] 338615K->200239K(506816K), 0.0225992 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:26.773+0300: 111.461: [GC (Allocation Failure) 2018-03-03T23:54:26.773+0300: 111.461: [DefNew: 149227K->9438K(157248K), 0.0225670 secs] 340015K->201624K(506816K), 0.0226554 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:26.865+0300: 111.553: [GC (Allocation Failure) 2018-03-03T23:54:26.865+0300: 111.553: [DefNew: 149214K->9441K(157248K), 0.0193935 secs] 341400K->203024K(506816K), 0.0194996 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:26.951+0300: 111.639: [GC (Allocation Failure) 2018-03-03T23:54:26.951+0300: 111.639: [DefNew: 149217K->9444K(157248K), 0.0226410 secs] 342800K->204425K(506816K), 0.0227644 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:27.045+0300: 111.733: [GC (Allocation Failure) 2018-03-03T23:54:27.045+0300: 111.733: [DefNew: 149220K->9791K(157248K), 0.0227323 secs] 344201K->205824K(506816K), 0.0228549 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:27.135+0300: 111.823: [GC (Allocation Failure) 2018-03-03T23:54:27.135+0300: 111.823: [DefNew: 149567K->9794K(157248K), 0.0189824 secs] 345600K->207225K(506816K), 0.0191008 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:27.220+0300: 111.908: [GC (Allocation Failure) 2018-03-03T23:54:27.220+0300: 111.908: [DefNew: 149570K->9797K(157248K), 0.0200831 secs] 347001K->208625K(506816K), 0.0201960 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:42.309+0300: 126.997: [GC (Allocation Failure) 2018-03-03T23:54:42.309+0300: 126.997: [DefNew: 149573K->9784K(157248K), 0.0189395 secs] 348401K->210010K(506816K), 0.0190657 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:42.396+0300: 127.084: [GC (Allocation Failure) 2018-03-03T23:54:42.396+0300: 127.084: [DefNew: 149560K->9788K(157248K), 0.0188379 secs] 349786K->211412K(506816K), 0.0189464 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:42.484+0300: 127.171: [GC (Allocation Failure) 2018-03-03T23:54:42.484+0300: 127.171: [DefNew: 149564K->9791K(157248K), 0.0220400 secs] 351188K->212812K(506816K), 0.0221566 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:42.570+0300: 127.257: [GC (Allocation Failure) 2018-03-03T23:54:42.570+0300: 127.258: [DefNew: 149567K->9794K(157248K), 0.0213841 secs] 352588K->214212K(506816K), 0.0214781 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:42.656+0300: 127.343: [GC (Allocation Failure) 2018-03-03T23:54:42.656+0300: 127.343: [DefNew: 149570K->9796K(157248K), 0.0238230 secs] 353988K->215612K(506816K), 0.0239387 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:42.748+0300: 127.436: [GC (Allocation Failure) 2018-03-03T23:54:42.748+0300: 127.436: [DefNew: 149572K->9783K(157248K), 0.0250044 secs] 355388K->216996K(506816K), 0.0251237 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2018-03-03T23:54:42.848+0300: 127.535: [GC (Allocation Failure) 2018-03-03T23:54:42.848+0300: 127.536: [DefNew: 149559K->9786K(157248K), 0.0206128 secs] 356772K->218397K(506816K), 0.0207026 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:42.933+0300: 127.621: [GC (Allocation Failure) 2018-03-03T23:54:42.933+0300: 127.621: [DefNew: 149562K->9788K(157248K), 0.0207258 secs] 358173K->219797K(506816K), 0.0208420 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:43.018+0300: 127.706: [GC (Allocation Failure) 2018-03-03T23:54:43.019+0300: 127.706: [DefNew: 149564K->9790K(157248K), 0.0214733 secs] 359573K->221196K(506816K), 0.0216275 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:43.108+0300: 127.796: [GC (Allocation Failure) 2018-03-03T23:54:43.108+0300: 127.796: [DefNew: 149566K->9793K(157248K), 0.0198325 secs] 360972K->222596K(506816K), 0.0199388 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:43.194+0300: 127.882: [GC (Allocation Failure) 2018-03-03T23:54:43.194+0300: 127.882: [DefNew: 149569K->9795K(157248K), 0.0203844 secs] 362372K->223996K(506816K), 0.0204881 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:58.285+0300: 142.972: [GC (Allocation Failure) 2018-03-03T23:54:58.285+0300: 142.973: [DefNew: 149571K->9797K(157248K), 0.0222783 secs] 363772K->225396K(506816K), 0.0223696 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:58.372+0300: 143.060: [GC (Allocation Failure) 2018-03-03T23:54:58.372+0300: 143.060: [DefNew: 149573K->9785K(157248K), 0.0195996 secs] 365172K->226781K(506816K), 0.0197171 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
