Java HotSpot(TM) 64-Bit Server VM (25.161-b12) for windows-amd64 JRE (1.8.0_161-b12), built on Dec 19 2017 17:52:25 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33469572k(19482664k free), swap 33469572k(15755360k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC -XX:+UseParallelOldGC 
2018-03-03T23:57:55.434+0300: 78.937: [GC (Allocation Failure) [PSYoungGen: 167168K->1792K(169984K)] 298310K->134606K(519680K), 0.0236893 secs] [Times: user=0.20 sys=0.00, real=0.02 secs] 
2018-03-03T23:57:55.531+0300: 79.035: [GC (Allocation Failure) [PSYoungGen: 167168K->1792K(170496K)] 299982K->136286K(520192K), 0.0256913 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2018-03-03T23:57:55.625+0300: 79.129: [GC (Allocation Failure) [PSYoungGen: 168192K->1792K(170496K)] 302686K->137974K(520192K), 0.0266835 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2018-03-03T23:57:55.718+0300: 79.221: [GC (Allocation Failure) [PSYoungGen: 168192K->1824K(171008K)] 304374K->139694K(520704K), 0.0243038 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2018-03-03T23:57:55.808+0300: 79.312: [GC (Allocation Failure) [PSYoungGen: 168736K->1760K(170496K)] 306606K->141318K(520192K), 0.0244077 secs] [Times: user=0.20 sys=0.00, real=0.02 secs] 
2018-03-03T23:57:55.900+0300: 79.404: [GC (Allocation Failure) [PSYoungGen: 168672K->1824K(171008K)] 308230K->143094K(520704K), 0.0264891 secs] [Times: user=0.22 sys=0.00, real=0.03 secs] 
2018-03-03T23:58:11.028+0300: 94.531: [GC (Allocation Failure) [PSYoungGen: 169248K->1760K(171008K)] 310518K->144726K(520704K), 0.0239913 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2018-03-03T23:58:11.154+0300: 94.657: [GC (Allocation Failure) [PSYoungGen: 169184K->1824K(171520K)] 312150K->146486K(521216K), 0.0236094 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2018-03-03T23:58:11.298+0300: 94.801: [GC (Allocation Failure) [PSYoungGen: 169760K->1824K(171008K)] 314422K->148190K(520704K), 0.0243747 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2018-03-03T23:58:11.413+0300: 94.916: [GC (Allocation Failure) [PSYoungGen: 169760K->1824K(171520K)] 316126K->149902K(521216K), 0.0257268 secs] [Times: user=0.22 sys=0.01, real=0.03 secs] 
2018-03-03T23:58:11.520+0300: 95.024: [GC (Allocation Failure) [PSYoungGen: 170272K->1856K(171520K)] 318350K->151646K(521216K), 0.0231289 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:58:11.641+0300: 95.145: [GC (Allocation Failure) [PSYoungGen: 170304K->1792K(171520K)] 320094K->153294K(521216K), 0.0232127 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2018-03-03T23:58:11.780+0300: 95.283: [GC (Allocation Failure) [PSYoungGen: 170240K->1792K(171520K)] 321742K->155014K(521216K), 0.0263085 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2018-03-03T23:58:11.885+0300: 95.389: [GC (Allocation Failure) [PSYoungGen: 170240K->1792K(172032K)] 323462K->156734K(521728K), 0.0260762 secs] [Times: user=0.22 sys=0.00, real=0.03 secs] 
2018-03-03T23:58:11.988+0300: 95.491: [GC (Allocation Failure) [PSYoungGen: 171264K->1824K(172032K)] 326206K->158486K(521728K), 0.0227587 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2018-03-03T23:58:27.093+0300: 110.597: [GC (Allocation Failure) [PSYoungGen: 171296K->1856K(172032K)] 327958K->160254K(521728K), 0.0240177 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2018-03-03T23:58:27.183+0300: 110.687: [GC (Allocation Failure) [PSYoungGen: 171328K->1504K(172032K)] 329726K->197685K(521728K), 0.0456440 secs] [Times: user=0.31 sys=0.00, real=0.05 secs] 
2018-03-03T23:58:27.304+0300: 110.808: [GC (Allocation Failure) [PSYoungGen: 170976K->1856K(172032K)] 367157K->199413K(521728K), 0.0251529 secs] [Times: user=0.23 sys=0.00, real=0.03 secs] 
2018-03-03T23:58:27.402+0300: 110.906: [GC (Allocation Failure) [PSYoungGen: 171328K->1824K(172032K)] 368885K->201101K(521728K), 0.0297206 secs] [Times: user=0.19 sys=0.00, real=0.03 secs] 
